Protein,LogFoldChange,Zstatistic,Name,Function
lcl|c228623_g6_i3|m.13470,-1.272,-7.0751,NA,NA
lcl|c228665_g3_i2|m.13504,-1.608,-5.4788,NA,NA
lcl|c228678_g2_i11|m.13512,-2.191,-7.3662,NA,NA
lcl|c228692_g3_i3|m.13558,-2.174,-6.1113,NA,NA
lcl|c228728_g1_i4|m.13597,-0.997,-3.4968,NA,NA
lcl|c228778_g1_i1|m.13644,-1.554,-4.0104,NA,NA
lcl|c228838_g1_i2|m.13701,-1.544,-4.4165,NA,NA
lcl|c228847_g1_i2|m.13712,-2.608,-7.8198,NA,NA
lcl|c228848_g6_i3|m.13716,-2.01,-5.623,NA,NA
lcl|c228868_g10_i1|m.13735,-1.117,-3.5985,NA,NA
lcl|c229041_g1_i1|m.13901,-1.711,-4.6411,NA,NA
lcl|c229060_g1_i1|m.13927,-2.533,-11.5774,NA,NA
lcl|c229093_g1_i2|m.13957,-1.736,-4.2986,NA,NA
lcl|c229132_g1_i2|m.13984,-2.433,-14.5049,NA,NA
lcl|c229134_g1_i1|m.13988,-1.677,-6.04,NA,NA
lcl|c229261_g2_i4|m.14109,-0.829,-2.4943,NA,NA
lcl|c229298_g2_i1|m.14136,-0.54,-4.91,NA,NA
lcl|c229310_g3_i5|m.14142,-1.541,-4.4906,NA,NA
lcl|c229340_g1_i1|m.14173,-0.646,-3.7207,NA,NA
lcl|c229412_g3_i1|m.14240,-1.554,-3.9829,NA,NA
lcl|c229461_g3_i2|m.14279,-1.07,-3.1115,NA,NA
lcl|c229482_g2_i3|m.14286,-0.896,-6.7872,NA,NA
lcl|c229503_g1_i3|m.14339,-1.012,-3.0023,NA,NA
lcl|c229507_g2_i4|m.14343,-0.633,-2.3577,NA,NA
lcl|c229538_g7_i4|m.14373,-0.535,-2.7964,NA,NA
lcl|c229583_g3_i7|m.14431,-2.234,-6.51,NA,NA
lcl|c229735_g7_i1|m.14573,-1.68,-8.6378,NA,NA
lcl|c229751_g1_i2|m.14592,0.71,5.7299,NA,NA
lcl|c229776_g6_i2|m.14612,-1.804,-5.0598,NA,NA
lcl|c229808_g3_i3|m.14640,-1.873,-6.2941,NA,NA
lcl|c229881_g6_i6|m.14719,-0.664,-6.4013,NA,NA
lcl|c229913_g3_i1|m.14763,-1.144,-6.5061,NA,NA
lcl|c229917_g4_i4|m.14770,0.691,2.7393,NA,NA
lcl|c230034_g1_i1|m.14877,-1.081,-5.1579,NA,NA
lcl|c230054_g1_i7|m.14897,-0.838,-4.9842,NA,NA
lcl|c230073_g1_i10|m.14919,-3.029,-9.7471,NA,NA
lcl|c230102_g4_i1|m.14957,1.515,7.2879,NA,NA
lcl|c230104_g4_i1|m.14959,-1.89,-5.2011,NA,NA
lcl|c230124_g3_i6|m.14973,-1.387,-13.3544,NA,NA
lcl|c230150_g4_i2|m.14989,-0.861,-2.8492,NA,NA
lcl|c230171_g1_i1|m.15015,-1.659,-4.4652,NA,NA
lcl|c230197_g3_i5|m.15044,-1.055,-4.9863,NA,NA
lcl|c230270_g1_i2|m.15107,-1.461,-4.4458,NA,NA
lcl|c230276_g3_i1|m.15112,-1.323,-3.5042,NA,NA
lcl|c230360_g10_i5|m.15205,-1.052,-4.9995,NA,NA
lcl|c230411_g4_i1|m.15261,-0.678,-2.0767,NA,NA
lcl|c230413_g1_i5|m.15274,-1.298,-3.3493,NA,NA
lcl|c230414_g1_i1|m.15275,-0.927,-3.4177,NA,NA
lcl|c230438_g3_i4|m.15312,-1.546,-4.3725,NA,NA
lcl|c230551_g2_i3|m.15412,-1.244,-3.0392,NA,NA
lcl|c230758_g1_i1|m.15596,-0.777,-2.713,NA,NA
lcl|c230771_g2_i1|m.15607,-1.49,-9.5853,NA,NA
lcl|c230862_g3_i1|m.15714,-2.421,-8.1935,NA,NA
lcl|c230880_g3_i5|m.15737,-0.751,-2.7007,NA,NA
lcl|c230953_g1_i2|m.15824,-0.961,-2.4414,NA,NA
lcl|c230960_g1_i5|m.15839,-1.584,-5.0092,NA,NA
lcl|c231030_g9_i2|m.15907,-2.09,-6.6318,NA,NA
lcl|c231068_g6_i2|m.15939,-0.648,-8.0881,NA,NA
lcl|c231083_g2_i1|m.15952,-1.704,-4.8337,NA,NA
lcl|c231142_g1_i4|m.15993,-0.974,-3.7822,NA,NA
lcl|c231190_g4_i6|m.16031,-0.832,-4.5183,NA,NA
